Date,Fatalities
19550402,2
19550404,3
19550411,19
19550418,12
19550518,20
19550521,4
19550526,2
19550603,3
19550616,16
19550618,18
19550714,22
19550717,22
19550727,58
19550804,30
19550806,25
19550811,66
19550826,13
19550830,2
19550902,9
19550908,3
19550910,16
19550917,2
19550921,15
19550924,3
19550929,1
19551002,19
19551006,66
19551010,7
19551101,44
19551117,42
19551120,10
19551130,10
19551201,6
19551217,2
19551219,26
19551221,17
19560112,1
19560117,4
19560118,22
19560128,3
19560213,2
19560214,2
19560217,40
19560218,50
19560220,52
19560224,19
19560225,3
19560321,2
19560328,1
19560331,21
19560401,22
19560402,5
19560409,6
19560418,3
19560430,2
19560515,16
19560524,30
19560620,74
19560624,32
19560630,128
19560709,1
19560713,46
19560716,18
19560808,12
19560829,15
19560909,1
19561002,5
19561010,59
19561016,0
19561019,3
19561028,23
19561105,5
19561107,2
19561115,25
19561117,36
19561124,57
19561127,25
19561208,14
19561209,62
19561212,5
19561222,24
19561230,11
19570106,1
19570111,17
19570123,16
19570129,2
19570131,5
19570201,21
19570222,22
19570302,5
19570305,18
19570309,15
19570314,20
19570317,24
19570318,19
19570322,67
19570407,40
19570408,34
19570410,26
19570415,3
19570417,24
19570420,1
19570501,34
19570505,1
19570509,37
19570513,20
19570614,9
19570618,9
19570622,3
19570623,14
19570701,24
19570716,58
19570725,1
19570811,79
19570815,23
19570820,8
19570829,12
19570903,8
19570915,12
19570918,1
19570928,3
19571003,27
19571018,2
19571023,7
19571028,21
19571030,3
19571106,15
19571109,44
19571115,47
19571121,4
19571208,61
19571210,3
19571211,2
19571223,23
19571231,9
19580116,3
19580120,11
19580201,52
19580206,23
19580219,15
19580220,22
19580227,35
19580307,34
19580322,4
19580324,20
19580325,9
19580327,18
19580402,3
19580406,47
19580407,32
19580414,16
19580421,49
19580515,21
19580516,3
19580518,61
19580520,11
19580525,4
19580531,19
19580602,46
19580604,1
19580616,19
19580625,7
19580627,15
19580709,3
19580809,36
19580812,43
19580814,99
19580815,88
19580902,39
19580905,13
19580908,13
19580909,8
19580915,15
19580929,5
19581009,19
19581014,23
19581015,20
19581017,80
19581018,11
19581022,31
19581101,17
19581103,8
19581108,3
19581109,36
19581116,2
19581204,21
19581224,9
19581226,3
19581230,21
19590106,5
19590108,10
19590111,36
19590114,2
19590116,51
19590121,4
19590122,10
19590127,2
19590201,3
19590203,69
19590217,14
19590218,5
19590305,15
19590312,5
19590313,1
19590329,33
19590330,2
19590417,26
19590423,12
19590429,28
19590502,5
19590512,33
19590513,12
19590515,10
19590521,8
19590601,60
19590623,14
19590626,68
19590630,0
19590803,6
19590814,2
19590815,5
19590819,32
19590827,2
19590902,2
19590908,1
19590912,3
19590923,20
19590924,69
19590929,34
19591026,1
19591029,18
19591030,26
19591104,5
19591116,82
19591121,24
19591124,3
19591201,25
19591208,45
19591213,29
19591217,3
19591221,2
19591222,33
19591224,1
19591231,11
19600103,9
19600106,34
19600110,10
19600118,50
19600119,42
19600121,37
19600126,9
19600205,59
19600226,127
19600315,6
19600316,3
19600317,63
19600319,25
19600405,2
19600412,10
19600414,18
19600418,9
19600419,37
19600420,4
19600422,35
19600428,13
19600515,12
19600518,10
19600523,4
19600610,29
19600614,14
19600624,54
19600706,18
19600710,16
19600711,18
19600714,1
19600715,1
19600719,37
19600727,13
19600731,1
19600801,6
19600817,55
19600824,3
19600829,63
19600907,31
19600919,80
19600922,29
19600926,31
19600928,8
19600929,21
19601004,62
19601014,11
19601015,2
19601021,3
19601028,12
19601029,22
19601105,4
19601107,37
19601123,33
19601207,15
19601211,31
19601216,128
19601217,20
19601222,28
19610102,10
19610103,25
19610119,4
19610122,6
19610124,21
19610126,23
19610128,6
19610203,26
19610215,72
19610309,12
19610325,23
19610328,52
19610403,24
19610510,78
19610524,22
19610529,13
19610530,61
19610612,20
19610617,1
19610630,24
19610710,1
19610711,17
19610712,72
19610719,67
19610721,6
19610806,27
19610809,39
19610813,6
19610829,1
19610901,78
19610905,5
19610906,2
19610910,83
19610912,77
19610917,53
19610923,28
19611007,34
19611010,17
19611101,47
19611108,77
19611111,3
19611123,73
19611130,15
19611204,3
19611212,13
19611215,2
19611221,27
19611224,1
19611229,14
19620113,5
19620122,6
19620127,13
19620204,18
19620225,25
19620301,95
19620304,111
19620306,2
19620308,31
19620315,108
19620320,11
19620327,22
19620406,31
19620422,40
19620506,12
19620508,32
19620509,23
19620512,15
19620515,3
19620517,13
19620522,71
19620603,130
19620604,5
19620622,112
19620628,81
19620630,84
19620706,14
19620707,94
19620709,6
19620715,1
19620716,9
19620719,26
19620722,27
19620728,81
19620730,4
19620801,10
19620820,15
19620823,20
19620824,9
19620902,86
19620903,12
19620904,13
19620910,59
19620921,8
19620923,28
19621010,2
19621012,21
19621019,1
19621025,10
19621110,27
19621119,4
19621123,62
19621126,26
19621127,97
19621130,25
19621206,24
19621214,55
19621219,33
19621220,12
19621222,1
19621228,1
19621229,25
19630114,5
19630115,13
19630117,3
19630126,1
19630129,8
19630130,14
19630201,17
19630203,3
19630208,7
19630212,43
19630228,0
19630302,27
19630305,4
19630315,45
19630320,18
19630323,10
19630330,11
19630414,12
19630503,92
19630512,34
19630603,130
19630610,20
19630616,50
19630623,38
19630626,38
19630701,15
19630702,7
19630703,23
19630713,35
19630715,6
19630717,6
19630727,63
19630808,13
19630812,20
19630814,1
19630817,19
19630821,0
19630828,16
19630904,80
19630911,58
19630922,10
19631009,6
19631014,6
19631018,31
19631020,5
19631022,7
19631108,22
19631129,118
19631207,3
19631208,81
19631212,3
19631215,6
19631217,0
19640109,28
19640122,2
19640203,13
19640204,2
19640208,4
19640215,4
19640218,13
19640221,31
19640222,24
19640225,58
19640227,20
19640229,83
19640301,85
19640308,29
19640310,5
19640312,5
19640320,3
19640328,54
19640412,15
19640417,51
19640507,44
19640508,56
19640511,79
19640520,11
19640527,3
19640604,3
19640613,2
19640619,2
19640620,57
19640621,1
19640707,5
19640708,1
19640709,39
19640714,3
19640716,0
19640731,2
19640802,3
19640805,2
19640822,0
19640902,87
19640904,67
19640915,2
19641002,81
19641009,32
19641016,2
19641019,33
19641103,5
19641115,29
19641117,10
19641120,31
19641123,50
19641129,6
19641204,4
19641208,17
19641211,38
19641221,1
19641224,4
19641229,5
19641230,4
19650105,3
19650113,2
19650116,17
19650117,10
19650122,10
19650203,4
19650206,87
19650208,84
19650213,2
19650214,4
19650308,35
19650317,8
19650322,28
19650325,16
19650326,22
19650331,50
19650409,2
19650410,54
19650414,26
19650417,2
19650423,5
19650505,30
19650520,119
19650615,18
19650625,85
19650628,0
19650701,0
19650706,41
19650707,30
19650708,52
19650711,16
19650715,8
19650717,11
19650725,37
19650804,7
19650812,13
19650816,30
19650820,4
19650824,59
19650904,4
19650911,11
19650914,17
19650916,47
19650917,30
19650927,3
19651008,4
19651017,27
19651018,13
19651020,1
19651027,36
19651102,30
19651103,68
19651108,88
19651110,32
19651111,43
19651112,2
19651114,8
19651127,13
19651204,4
19651207,32
19651211,85
19651212,2
19651216,2
19651229,3
19660101,34
19660115,56
19660122,30
19660124,117
19660125,46
19660127,3
19660128,46
19660204,133
19660207,37
19660208,2
19660215,2
19660218,4
19660304,64
19660305,124
19660308,6
19660310,11
19660318,30
19660320,2
19660405,2
19660409,11
19660417,2
19660422,83
19660427,49
19660504,20
19660506,2
19660518,11
19660616,3
19660620,2
19660627,6
19660629,24
19660704,2
19660711,11
19660715,10
19660724,4
19660803,3
19660806,42
19660811,24
19660813,6
19660815,4
19660816,6
19660817,1
19660821,9
19660901,98
19660904,4
19660916,1
19660922,26
19661001,18
19661004,14
19661008,11
19661009,6
19661102,2
19661106,3
19661111,19
19661113,50
19661115,3
19661120,3
19661122,30
19661124,82
19661126,25
19661201,9
19661202,21
19661218,17
19661224,33
19670105,9
19670106,3
19670117,13
19670121,2
19670206,1
19670207,32
19670209,10
19670210,4
19670215,2
19670216,22
19670220,4
19670228,12
19670304,51
19670305,38
19670308,4
19670309,26
19670310,29
19670311,4
19670313,25
19670316,2
19670327,2
19670330,6
19670401,2
19670402,5
19670403,9
19670408,15
19670411,35
19670417,23
19670420,126
19670425,14
19670427,36
19670428,12
19670501,3
19670504,4
19670512,16
19670515,4
19670519,3
19670603,88
19670604,72
19670609,10
19670611,17
19670612,5
19670615,20
19670617,35
19670622,10
19670623,56
19670624,16
19670630,24
19670706,21
19670719,124
19670725,34
19670726,7
19670831,11
19670904,11
19670905,37
19670908,3
19671008,25
19671012,66
19671013,4
19671024,16
19671103,21
19671104,39
19671105,1
19671106,1
19671116,130
19671120,70
19671123,5
19671125,3
19671130,26
19671207,10
19671208,72
19671210,7
19671213,2
19671215,2
19671221,15
19671225,4
19671229,11
19671230,44
19671231,6
19680108,47
19680110,19
19680115,4
19680116,12
19680117,13
19680127,15
19680206,12
19680207,99
19680216,21
19680221,3
19680224,37
19680229,82
19680306,112
19680308,14
19680309,19
19680319,2
19680323,3
19680324,61
19680327,4
19680401,12
19680408,41
19680410,22
19680419,37
19680420,123
19680422,5
19680427,5
19680430,22
19680503,85
19680507,11
19680512,155
19680514,4
19680522,23
19680528,29
19680601,3
19680613,6
19680618,6
19680622,120
19680625,29
19680628,1
19680703,6
19680707,4
19680708,11
19680713,7
19680715,3
19680718,5
19680728,10
19680801,3
19680802,13
19680804,3
19680809,48
19680810,35
19680814,21
19680818,40
19680820,4
19680828,0
19680831,5
19680903,47
19680908,2
19680911,95
19680924,11
19680928,57
19681001,3
19681003,38
19681008,14
19681010,2
19681011,11
19681019,10
19681020,19
19681021,23
19681025,32
19681121,7
19681122,0
19681123,9
19681125,26
19681126,2
19681202,39
19681206,3
19681208,3
19681212,51
19681224,22
19681226,15
19681227,27
19681231,52
19690102,26
19690105,50
19690106,35
19690113,15
19690116,12
19690118,38
19690204,13
19690205,23
19690218,35
19690224,36
19690305,19
19690308,15
19690313,1
19690316,84
19690319,3
19690320,116
19690402,79
19690407,1
19690415,31
19690416,45
19690419,9
19690421,44
19690424,1
19690425,18
19690505,22
19690506,30
19690507,2
19690523,6
19690525,1
19690604,79
19690605,22
19690620,2
19690629,14
19690706,14
19690712,35
19690713,2
19690715,3
19690724,4
19690725,1
19690726,38
19690730,3
19690803,4
19690805,3
19690819,13
19690825,1
19690826,16
19690831,3
19690902,35
19690906,4
19690908,28
19690909,83
19690912,45
19690914,20
19690917,4
19690920,74
19690921,27
19690926,79
19691002,26
19691003,5
19691109,2
19691112,2
19691113,9
19691119,14
19691120,87
19691203,62
19691206,8
19691208,90
19691210,3
19691222,10
19691223,15
19700101,2
19700105,5
19700112,23
19700113,32
19700114,28
19700124,2
19700125,20
19700128,43
19700129,11
19700204,58
19700206,92
19700210,5
19700212,12
19700213,10
19700215,102
19700218,4
19700219,17
19700221,47
19700306,11
19700314,38
19700316,23
19700322,3
19700326,6
19700401,106
19700402,3
19700421,46
19700425,19
19700428,8
19700502,23
19700504,13
19700506,5
19700509,7
19700515,11
19700522,6
19700526,6
19700530,1
19700601,13
19700602,1
19700610,5
19700703,117
19700705,109
19700718,23
19700724,7
19700727,4
19700730,37
19700803,10
19700806,30
19700809,99
19700812,14
19700826,30
19700829,39
19700830,3
19700902,37
19700903,22
19700908,11
19700909,1
19700922,4
19700926,8
19700930,38
19701001,8
19701002,73
19701004,2
19701006,3
19701010,3
19701016,2
19701028,2
19701114,75
19701124,18
19701127,126
19701129,42
19701202,4
19701205,5
19701207,18
19701219,25
19701228,2
19701230,7
19701231,124
19710102,16
19710109,2
19710118,45
19710121,56
19710122,13
19710123,2
19710125,18
19710131,7
19710207,3
19710217,12
19710326,15
19710331,69
19710415,39
19710420,2
19710421,8
19710422,4
19710506,12
19710511,5
19710512,2
19710523,78
19710526,11
19710528,6
19710606,50
19710607,28
19710613,24
19710617,6
19710627,17
19710703,68
19710721,3
19710724,6
19710725,101
19710730,200
19710807,100
19710812,2
19710818,37
19710819,3
19710828,32
19710904,111
19710906,22
19710915,5
19710916,54
19710928,32
19711002,63
19711013,20
19711016,16
19711017,20
19711021,16
19711023,31
19711024,4
19711109,52
19711110,69
19711112,47
19711121,25
19711128,34
19711201,57
19711204,2
19711206,10
19711209,21
19711221,28
19711224,91
19720106,23
19720107,104
19720118,3
19720121,60
19720126,27
19720201,6
19720204,3
19720205,19
19720211,23
19720216,2
19720219,5
19720220,4
19720222,8
19720303,16
19720313,5
19720314,112
19720319,22
19720328,14
19720406,2
19720412,25
19720416,18
19720417,3
19720418,43
19720420,6
19720424,4
19720426,6
19720504,18
19720505,115
19720508,7
19720510,34
19720519,9
19720521,22
19720527,8
19720529,20
19720530,4
19720601,2
19720603,16
19720605,32
19720613,50
